city,file_id,annotations
Boise,0,BSU|The City Parks|Eagle Pointe Apartments|Micron|Boise Greenbelt|ITT
Boise,1,downtown|Whitewater Park
Boise,10,Downtown|1205 W. Targee|Boise State University|Boise State|Boise
Boise,11,Sugar Pine Townhomes|Vista|BSU|Downtown Boise|Sugar Pine|Boise|Canal Street|Idaho
Boise,12,BSU|Greenbelt|Downtown Boise|8th Street|Front Street|Capital
Boise,13,Hyde Park|North Idaho|Boise Co-op
Boise,14,downtown|Rec Cenhe Columbia Village Cter|Columbia Village|Boise river
Boise,15,BSU|green belt
Boise,16,VA Hospital|BSU|new Simplot headquarters|downtown|Hyde Park|North End|St. Luke's|Albertsons
Boise,17,downtown|Parkcenter Blvd|Bown Crossing|Greenbelt
Boise,18,YORK ST.|Winstead Park|downtown|Fairview|Liberty
Boise,19,BSU|Protest Hill|Federal Way
Boise,2,The Village at Meridian|Cherry Lane|Fairview Ave|Meridian area|Big Al's Bowling Center|Heron Village Luxury Apartments|Albertsons|Meridian|Julius M. Kleiner Memorial Park
Boise,3,Ann Morrison Park|downtown|Boise State|greenbelt|Trader Joe’s|Knitting Factory
Boise,4,Idaho River Sports|Ester Simplot Park|west downtown Boise waterfront property|Boise River Greenbelt|Boise|Whitewater Park Apartments|Quinn's Pond|Greenbelt|Boise River Park|Boise State University
Boise,5,Ann Morrison Park|Borah High schools|BSU|Downtown Boise|Green Belt|Zoo|Jefferson Elementary|Discovery Center|South Junior High|Public Library|St Luke's Hospital
Boise,6,downtown|BSU|greenbelt
Boise,7,Meridian
Boise,8,airport|Whitney Elementary School|downtown area
Boise,9,west of Orchard|BSU|Boise Bench|308 S. Laurel Street|Bench|downtown|Franklin
Chicago,0,Ravenswood|Mariano's|Lincoln Square|Western|Lawrence Metra
Chicago,1,Millennium Park
Chicago,10,Theater District|Michigan Avenue|Chicago River|Art Institute of Chicago|Lake Michigan|State Street shopping
Chicago,11,Lincoln Park Zoo|Diversey Harbor|Lake Shore Drive|Lincoln Park|Lake Michigan|The L. A. Health Club
Chicago,12,Wrigleyville|RED LINE|Wrigley Field
Chicago,13,CLYBOURN|North and Clybourn District of Lincoln Park|Downtown|Expressways|LINCOLN PARK
Chicago,14,UIC|Columbia|Ukrainian Village|Humboldt Park|Roosevelt|Noble Square|East Humboldt Park
Chicago,15,IIT|UIC|Chinatown|McKINLEY PARK
Chicago,16,Clark Street|Wrigley Field|Diversey Harbor|Lincoln Park
Chicago,17,Lincoln Park Zoo|428 W Belden Ave|Clark St|North Ave Beach|Lincoln Park
Chicago,18,Chicago|South State| Illinois' South Loop|Columbia College|Robert Morris University|Roosevelt University|777 South State|THE LOOP
Chicago,19,Cullerton and Throop streets|UIC|Ashland Avenue|Chicago sports Venus|18th Street|RUSH Medical District|McCormick place|Middle of True Pilsen|Loomis street
Chicago,2,Ravenswood Metra train stop|Albany Park|Hopleaf bar and restaurant|Ravenswood neighborhood|the Loop|Ravenswood|Andersonville|A Taste of Heaven|Bang Bang Pie|Marianos & LA Fitness| Lakeview|Winnemac Park| Lincoln Park|Over Easy|North Clark Street|Damen Brown Line CTA stop
