lake hazel,-116.2941 43.5741|-116.306205 43.542482|-116.296828 43.542969|-116.304455 43.534746
riverside village,-116.177866 43.58407|-116.288197 43.663916|-116.281378 43.664705|-116.288571 43.665497
north end neighborhood,-116.218329 43.637601|-116.203079 43.632363|-116.20574 43.623526|-116.203058 43.632441
boise towne square,-116.268497 43.615177|-116.297189 43.626215|-116.288341 43.600579|-116.2941 43.5741|-116.282505 43.629878
fairview park,-116.219825 43.631045|-116.218352 43.623641|-116.22063 43.63042|-116.216947 43.62274
ba square,-116.259264 43.605701|-116.3419 43.634|-116.424003 43.610006|-116.2941 43.5741|-116.455881 43.63186|-116.3819 43.487|-116.4306 43.6498|-116.259255 43.605732|-116.123343 43.567581|-116.18969 43.607074|-116.142654 43.574017|-116.143631 43.573092|-116.218078 43.630562|-116.597257 43.595871|-116.1649 43.6023|-116.555431 43.574449|-116.324793 43.621829|-116.2524 43.6601|-116.362 43.7069|-116.205551 43.614403|-116.3975 43.615|-116.2951 43.633|-116.2052 43.6322|-116.191 43.5885|-116.30199 43.585367|-116.149311 43.58842|-116.259634 43.60634|-116.259695 43.606094|-116.2191 43.5851|-116.220963 43.636448|-116.268703 43.619014|-116.253993 43.662485|-116.318025 43.709495|-116.547462 43.582501|-116.536 43.5937|-116.239686 43.652876|-116.323133 43.632143|-116.425786 43.626844|-116.189794 43.585258|-116.143556 43.573458|-116.283078 43.659661|-116.521447 43.551718
mountain high school,-116.4306 43.6498|-116.3975 43.615|-116.377489 43.633787|-116.405189 43.643746
meridian st,-116.36249 43.597246|-116.360643 43.585955|-116.360235 43.586157|-116.360815 43.584712
eagle pointe,-116.204014 43.597462|-116.203912 43.597388|-116.204807 43.598032|-116.205826 43.597487
town square mall,-116.291914 43.599942|-116.29182 43.599745|-116.268543 43.612907|-116.2951 43.633|-116.2941 43.5741|-116.284618 43.597938|-116.284554 43.598
austin creek,-116.360471 43.65137|-116.36236 43.651805|-116.359985 43.652979|-116.253077 43.635114|-116.360085 43.654832
boise foothills,-116.194031 43.626855|-116.195422 43.608929|-116.179357 43.566099|-116.2052 43.6322|-116.136732 43.561225|-116.210439 43.633171|-116.207188 43.634156|-116.2797 43.7318|-116.266637 43.67453|-116.251745 43.650827|-116.288571 43.665497
downstairs,-116.362 43.7069|-116.505594 43.502967|-116.5848 43.5834|-116.28022 43.574391|-116.207188 43.634156|-116.15983 43.575094|-116.61 43.525|-116.3975 43.615|-116.4306 43.6498|-116.420016 43.616769|-116.198338 43.611875|-116.2191 43.5851|-116.268271 43.59201|-116.164348 43.580189|-116.214473 43.595265|-116.199513 43.621577|-116.227322 43.583659|-116.282861 43.600124|-116.590607 43.594089|-116.402989 43.611056|-116.177193 43.612894
the boise foothills,-116.194031 43.626855|-116.195422 43.608929|-116.2052 43.6322|-116.210439 43.633171|-116.266637 43.67453
